Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
176,tCore_EODDenomination_0,ALL-Transaction,Stores EOD denomination header data,\PointofSale\MainScreen\PointofSale,tCore_EOD_0 ,iEODId,iEODId
177,tCore_EODDenominationDetail_0,ALL-Transaction,Stores EOD denomination body data,\PointofSale\MainScreen\PointofSale,tCore_EOD_0 ,iEODId,iEODId
178,tCore_EODProductDetail_0,ALL-Transaction,Stores product details on EOD basis,\PointofSale\MainScreen\PointofSale,tCore_EOD_0 ,iEODId,iEODId
179,tCore_EODWastage_0,ALL-Transaction,Stores product wastage data on EOD basis ,\PointofSale\MainScreen\PointofSale,tCore_EOD_0 ,iEODId,iEODId
180,tCore_ExportSyncLogFailed,ALL-Transaction,Contains error or failed logs for export synchronization,\Home\Company\Synchornization\SynchornizationDefinition,,iSyncId,
181,tCore_ExportSyncLogHeader,ALL-Transaction,Contains header details for export Synchornization,\Home\Company\Synchornization\SynchornizationDefinition,"tCore_ExportSyncMasterLogDetail
tCore_ExportSyncTransLogDetail_0",iExportSyncLogHeaderId,iExportSyncLogHeaderId
182,tCore_ExportSyncMasterLogDetail,ALL-Transaction,Stores master log information for export Sync,\Home\Company\Synchornization\SynchornizationDefinition,tCore_ExportSyncLogHeader ,iExportSyncLogDetailId,iExportSyncLogHeaderId
183,tCore_ExportSyncTransLogDetail_0,ALL-Transaction,Stores transaction log details for export sync ,\Home\Company\Synchornization\SynchornizationDefinition,tCore_ExportSyncLogHeader ,iExportSyncLogDetailId,iExportSyncLogHeaderId
184,tCore_ExPostData_0,ALL-Transaction,Stores received data details,\Home\Utilities\RepostVouchers,,iExTransId,
185,tCore_ExPostHeader_0,ALL-Transaction,Stores received data header information,\Home\Utilities\RepostVouchers,,iExTransId,
186,tCore_ExternalData_0,ALL-Transaction,Stores External data details,Add Attachments ,tCore_ExternalHeader_0 ,iExTransId,iExTransId
187,tCore_ExternalHeader_0,ALL-Transaction,Stores external data  header information,Add Attachments ,tCore_ExternalData_0,iExTransId,iExTransId
188,tCore_GridCustomizationDetails_0,ALL-Transaction,Contains grid customization body data,Not Applicable,tCore_GridCustomizationHeader_0 ,iCustomizationId,iCustomizationId
189,tCore_GridCustomizationHeader_0,ALL-Transaction,contains grid customization header data,Not Applicable,tCore_GridCustomizationDetails_0,iCustomizationId,iCustomizationId
190,tCore_Header_0,ALL-Transaction,"Stores header information for all transactions in focus8 application. The primary key of this table i.e. iHeaderId forms the reference key for multiple tables. With every transaction posted iHeaderId is incremented. Voucher type, voucher no, Login details,transaction date etc are stored in this table",\Select any Voucher->Post entry,"mSec_Users 
This Table is referenced by multiple tables",iHeaderId,iModifiedBy                                iUserId                                             iHeaderId      
191,tCore_Header_2_0,ALL-Transaction,"Stores header data for transactions related to Letter of Credits,Payment terms etc in production module",\Select any production Voucher->Post entry,tCore_Header_0 ,iHeaderId,iHeaderId
192,tCore_Header_Stocks_0,ALL-Transaction,Stores stock header data in production module,\Select any production Voucher->Post entry,tCore_Header_0 ,iHeaderId,iHeaderId
193,tCore_HeaderData1023_0,ALL-Transaction,Stores header data for Stock adjustment,\Stock adjustment->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
194,tCore_HeaderData1024_0,ALL-Transaction,Stores header data for receipts from production,\receipts from production->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
195,tCore_HeaderData1056_0,ALL-Transaction,Stores header data for returns from shop floor,\returns from shop floor->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
196,tCore_HeaderData1280_0,ALL-Transaction,Stores header data for material receipts note,\material receipts note->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
197,tCore_HeaderData1536_0,ALL-Transaction,Stores header data for job work receipts,\job work receipts->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
198,tCore_HeaderData1792_0,ALL-Transaction,Stores header data for sales returns,\sales returns->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
199,tCore_HeaderData2048_0,ALL-Transaction,Stores header data for excesses in stocks,\excesses in stocks->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
200,tCore_HeaderData2304_0,ALL-Transaction,Stores header data for purchase quatations,\purchase quatations->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
201,tCore_HeaderData256_0,ALL-Transaction,Stores header data for opening balances,\opening balances->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
202,tCore_HeaderData2560_0,ALL-Transaction,Stores header data for purchase orders,\purchase orders->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
203,tCore_HeaderData2561_0,ALL-Transaction,Stores header data for job orders,\job orders->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
204,tCore_HeaderData2816_0,ALL-Transaction,Stores header data for production process,\production process->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
205,tCore_HeaderData3072_0,ALL-Transaction,Stores header data for stock transfer,\stock transfer->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
206,tCore_HeaderData3328_0,ALL-Transaction,Stores header data for sales invoice,\sales invoice->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
207,tCore_HeaderData3329_0,ALL-Transaction,Stores header data for cash sales,\cash sales->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
208,tCore_HeaderData3330_0,ALL-Transaction,Stores header data for hire purchase sales,\hire purchase sales->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
209,tCore_HeaderData3331_0,ALL-Transaction,Stores header data for POS sales ,\POS sales ->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
210,tCore_HeaderData3584_0,ALL-Transaction,Stores header data for non-standard journal entries,\non->Post Transactionstandard journal entries->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
211,tCore_HeaderData3585_0,ALL-Transaction,Stores header data for inter-departmental JV,\inter->Post Transactiondepartmental JV->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
212,tCore_HeaderData3586_0,ALL-Transaction,Stores header data for debit notes(linewise),\debit notes(linewise)->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
213,tCore_HeaderData3587_0,ALL-Transaction,Stores header data for credit notes(linewise)Stores header data for payroll,\credit notes(linewise)\payroll->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
214,tCore_HeaderData3588_0,ALL-Transaction,Stores header data for fixed asset depreciation voucher,\fixed asset depreciation voucher->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
215,tCore_HeaderData3840_0,ALL-Transaction,Stores header data for debit note,\debit note->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
216,tCore_HeaderData4096_0,ALL-Transaction,Stores header data for credit note,\credit note->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
217,tCore_HeaderData4097_0,ALL-Transaction,Stores header data for payroll posting,\payroll posting->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
218,tCore_HeaderData4608_0,ALL-Transaction,Stores header data for receipts,\receipts->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
219,tCore_HeaderData4864_0,ALL-Transaction,Stores header data for payments,\payments->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
220,tCore_HeaderData512_0,ALL-Transaction,Stores header data for opening stocks,\opening stocks->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
221,tCore_HeaderData5120_0,ALL-Transaction,Stores header data for petty cash,\petty cash->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
222,tCore_HeaderData5376_0,ALL-Transaction,Stores header data for shortages in stock,\shortages in stock->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
223,tCore_HeaderData5632_0,ALL-Transaction,Stores header data for sales order,\sales order->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
224,tCore_HeaderData5633_0,ALL-Transaction,Stores header data for production order,\production order->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
225,tCore_HeaderData5888_0,ALL-Transaction,Stores header data for post dated receipts,\post dated receipts->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
226,tCore_HeaderData6144_0,ALL-Transaction,Stores header data for delivery notes,\delivery notes->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
227,tCore_HeaderData6400_0,ALL-Transaction,Stores header data for purchase returns,\purchase returns->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
228,tCore_HeaderData6656_0,ALL-Transaction,Stores header data for issues to production,\issues to production->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
229,tCore_HeaderData6912_0,ALL-Transaction,Stores header data for job work issues,\job work issues->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
230,tCore_HeaderData7168_0,ALL-Transaction,Stores header data for post dated payments,\post dated payments->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
231,tCore_HeaderData7424_0,ALL-Transaction,Stores header data for sales quotation,\sales quotation->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
232,tCore_HeaderData768_0,ALL-Transaction,Stores header data for purchase vouchers,\purchase vouchers->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
233,tCore_HeaderData7680_0,ALL-Transaction,Stores header data for job orders,\job orders->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
234,tCore_HeaderData7936_0,ALL-Transaction,Stores header data for material requisition,\material requisition->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
235,tCore_HeaderData8192_0,ALL-Transaction,Stores header data for request for quote,\request for quote->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
236,tCore_HeaderData8448_0,ALL-Transaction,Stores header data for forex JV,\forex JV->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
237,tCore_HeaderData8704_0,ALL-Transaction,Stores header data for journal entries,\journal entries->Post Transaction,tCore_Header_0 ,iHeaderId,iHeaderId
238,tCore_Hirepurchase_0,ALL-Transaction,Stores transactions involving hire purchase,Customize any voucher->HirePurchase->Assign Voucher types->Assign hirePurchaseAccounts->Transact in POS,tCore_Header_0 ,iHeaderId,iHeaderId
239,tCore_HoldStock_0,ALL-Transaction,Data of Transactions involving holding/unholding of stocks are stored in this table,\Inventory\Transactions\Hold/Unhold Stock,,iId,
240,tCore_HPDownPayment_0,ALL-Transaction,Stores hire purchase downpayment details. ,\Home\Settings\ConfigureTransactions\HirePurchase->Assign Vouchers for payments->Post HP transactions->Enter payment transaction in specified payment voucher,"
tCore_HPHeader_0 ",iHirePurchaseId,iHirePurchaseId
241,tCore_HPExchangeDetails_0,ALL-Transaction,Stores exchange details related to hire purchase,Customize any voucher->HirePurchase->Assign Voucher types->Assign hirePurchaseAccounts->Transact in POS,"
tCore_HPHeader_0 ",iHirePurchaseId,iHirePurchaseId
242,tCore_HPExternalFinance_0,ALL-Transaction,Stores external finance data in transactions,Customize any voucher->HirePurchase->Assign external finance voucher,"
tCore_HPHeader_0 ",iHirePurchaseId,iHirePurchaseId
243,tCore_HPHeader_0,ALL-Transaction,Holds hire purchase header data,Post HirePurchase Transactions in POS,"tCore_HPDownPayment_0
tCore_HPExchangeDetails_0
tCore_HPExternalFinance_0
tCore_HPInstallment_0
tCore_HPInstallmentDetails_0",iHirePurchaseId,iHirePurchaseId
244,tCore_HPInstallment_0,ALL-Transaction,Holds payment installments header information,Post installments entry in payment method voucher defined in configure transaction preferences of hire purchase in POS,"
tCore_HPHeader_0 ",iHirePurchaseId,iHirePurchaseId
245,tCore_HPInstallmentDetails_0,ALL-Transaction,Holds payment installment body data,Post installments entry in payment method voucher defined in configure transaction preferences of hire purchase in POS,"
tCore_HPHeader_0 ",iHirePurchaseId,iHirePurchaseId
246,tCore_ibals_0,ALL-Transaction,"Stores valuation of inventory, stocks received and stocks issued details",Post inventory transactions,,iProduct,
247,tCore_ImportSyncErrorLog,ALL-Transaction,stores Synchronization error logs while importing ,\Home\Company\Synchronization,,iImportSyncLogDetailId,
248,tCore_ImportSyncLogDetail,ALL-Transaction,Stores import synchronization log body data,\Home\Company\Synchronization,tCore_ImportSyncLogHeader ,iImportSyncLogDetailId,iImportSyncLogHeaderId
249,tCore_ImportSyncLogHeader,ALL-Transaction,Stores import synchronization log header data,\Home\Company\Synchronization,tCore_ImportSyncLogDetails,iImportSyncLogHeaderId,iImportSyncLogDetailId
250,tCore_InboxOutbox_0,ALL-Transaction,Inter company transactions maps and transfers transactions between companies having linked processes between them such as sales transaction of company A becomes purchase transaction of company B. This table holds transactions data present in inbox/outbox. iStatus value = 1 indicates transaction is in inbox and iStatus = 2 indicates transaction is in outbox,\Home\Company\InterCompanyTransactions\Inbox/Outbox,,iInboxOutboxId,
251,tCore_Indta_0,ALL-Transaction,"Table contains default data stored in transaction such as product ID,quantity,unit,rate,gross etc with against iBodyId of the transaction",Post any transaction,"tCore_Data_0 
mCore_Product                                                        mCore_Units ",iBodyId,iBodyId                                     iProduct                                           iUnit
252,tCore_IndtaBodyScreenData_0,ALL-Transaction,"Stores screen fields data in transaction body such as dicount,sgst,cgst etc",Post any transaction with required fields ,,iBodyId,
253,tCore_IndtaFooterScreenData_0,ALL-Transaction,Holds calculative(screen) field details in transaction footer such as Shipping charges etc,Post any transaction with required fields ,,iHeaderId,
254,tCore_LCPostingDetails,ALL-Transaction,Stores letter of credit posting details based in LC screen,\Financials\receivableAndPayableAnalysis\LetterofCredit,,iLCId,
255,tCore_Links_0,ALL-Transaction,Stores linked transactional data ,Link two vouchers-> post transactions in base and call link in linked voucher,mCore_LinkPath_0 ,iRefId,iLinkId
256,tCore_Location_AuditLogDetails,ALL-Transaction,Stores edited information for lacation master,\Home\Masters\Location->Select any location->edit,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,iAuditId                                           ifieldId
257,tCore_MasterAuditLog,ALL-Transaction,Stores audit trail information for masters,\Home\Masters->select any master type->select a master->edit,"cCore_MasterDef 
This table is referenced by multiple tables",iAuditId,iMasterTypeId                               iAuditId
258,tCore_MasterAuth,ALL-Transaction,Stores master based authorization data,\Home\Settings\MasterAuthorization,"mCore_AuthorizationDetails_0 
cCore_MasterDef 
tCore_MasterAuthUsers",iAuthId,iAuthNodeId                     iMasterTypeId                             iAuthId
259,tCore_MasterAuthUsers,ALL-Transaction,This table stores master authorized users details,\Home\Settings\MasterAuthorization->UserSelection,tCore_MasterAuth ,iAuthUserId,iAuthId
260,tCore_MaxIds_0,ALL-Transaction,Stores max ids ,,,iMaxHeaderId,
261,tCore_OTPLogin,ALL-Transaction,This table populates when a new user is created with a password policy in which OTP based login option is checked,\Home\Security\PasswordPolicy->OTPbasedLogin,"tSec_UserLog 
mSec_Users ",iOPTId,iLogSessionId                              iUserId
262,tCore_PDCLinks_0,ALL-Transaction,Stores linked transactional data for post dated cheques,,,iPDCBaseTransId,
263,tCore_POS_0,ALL-Transaction,Stores Point Of Ssales transactions data,\PointOfSales\MainScreen\PointOfSales,tCore_Data_0 ,iBodyId,iBodyId
264,tCore_PostInterestDetails_0,ALL-Transaction,Stores finance term details related to interest rates posting in financial transaction ,\Financials\CreditManagement\FinancialTerms,mCore_Account                       mCore_FinanceTermsDetails ,iPostInterestId,iAccountId                       iFinanceTermDetailsId
265,tCore_PostRJDetails_0,ALL-Transaction,Stores recurring journal postings body data,\Financials\Transactions\AutoPostings\PostRecurringJournal,mCore_Account                                     tCore_PostRJHeader_0 ,iBodyId,iBookId                                           iCode                                          iHeaderId
266,tCore_PostRJHeader_0,ALL-Transaction,Stores recurring journal postings header data,\Financials\Transactions\AutoPostings\PostRecurringJournal,"tCore_RecurringJournalDetails_0 
tCore_PostRJDetails_0",iHeaderId,iRJDetailsId                               iHeaderId
267,tCore_Product_AuditLogDetails,ALL-Transaction,Holds audit log details of product masters,\Home\Masters\Product\Product->edit any product ,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,iAuditId                                           ifieldId
268,tCore_RecurringJournal_0,ALL-Transaction,Stores recurring journals header data for current year,\Financials\Transactions\AutoPostings\RecurringJournal,tCore_RecurringJournal_0,iRecurringJournalId,iRecurringJournalId
269,tCore_RecurringJournalDetails_0,ALL-Transaction,Stores recurring journals body data for current year,\Financials\Transactions\AutoPostings\RecurringJournal,tCore_RecurringJournal_0 ,iRJDetailsId,iRecurringJournalId
270,tCore_Refrn_0,ALL-Transaction,stores reference details of financial transactions associated with trade postings,Post financial transaction,"mCore_Account 
tCore_Data_0 
cCore_MasterDef 
mCore_Product ",iBodyId                                          iRef,iAccount                                          iBodyId                                    iMasterTypeId                         iProduct
271,tCore_Region_AuditLogDetails,ALL-Transaction,Region based audit trails are posted in this tables,\Home\Masters\Region->edit any region ,"tCore_MasterAuditLogiFieldId
cCore_Fields ",iAuditId,iAuditId                                           ifieldId
272,tCore_Reminders_0,ALL-Transaction,Stores reminder terms data for current year,\Home\CreditManagement\ReminderTerms,tCore_Reminders_Consolidation_0,iReminderId,iReminderId
273,tCore_Reminders_Consolidation_0,ALL-Transaction,Stores reminder consolidation details,\Home\CreditManagement\ReminderTerms,"mCore_Account 
tCore_Reminders_0                                                     tCore_Reminders_Details_0",iReminderConsId,iAccount                            iReminderId                          iReminderConsId
274,tCore_Reminders_Details_0,ALL-Transaction,Store details of reminder ,\Home\CreditManagement\ReminderTerms,tCore_Reminders_Consolidation_0 ,iReminderConsId               iRowIndex,iReminderConsId
275,tCore_ReservedStock_0,ALL-Transaction,Stores reserved stocks data ,"Select product->properties->Reservations->reserve by Quantity
Select base transaction and check reserve by quantity option
Enable reserve stock->provide reserve quantity in base transaction",,iReqTransactionId,
276,tCore_RFID_0,ALL-Transaction,This table stores radio frequency identification data,\Home\Settings\ConfigureTransactions->enable RFID,tCore_Data_0 ,iBodyId,iBodyId
277,tCore_RJTemplate_0,ALL-Transaction,This table stores recurring journal template data,\Financials\Transactions\AutoPostings\RecurringJournalTemplate,"mCore_Account 
tCore_RJTemplate_0
tCore_RJTemplateDetails_0",iTemplateId,iTemplateId                             iAccountId                                    IcontraAccountId
278,tCore_RJTemplateDetails_0,ALL-Transaction,This table stores recurring journal template's detailed data,\Financials\Transactions\AutoPostings\RecurringJournalTemplate,"mCore_Account 
tCore_RJTemplate_0                             tCore_RJTemplateDetails_0",iTemplateDetailsId,iAccountId                         iTemplateId                        iTemplateDetailsId           
279,tCore_Rma_0,ALL-Transaction,This table stores return merchandise authorization data ,\Home\Settings\ConfigureTransactions->Support RMA,tCore_Data_0 ,iBodyId                                      sRmaNo,iBodyId
280,tCore_Scheduler,ALL-Transaction,Reports scheduler data is stored in this table,,,iModuleId,
281,tCore_Scheme_0,ALL-Transaction,Schemes related data is stored in this table,\Home\Masters\Schemes\Schemes->Post Transactions,tCore_Data_0 ,iBodyId,iBodyId
282,tCore_Skid_0,ALL-Transaction,stores Skid information,\SkidDefinition,,iId,
283,tCore_State_AuditLogDetails,ALL-Transaction,State master audit trail information is stored in this table,\Home\Masters\State->Edit Entry,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,iAuditId                                           ifieldId
284,tCore_StockAllocation_0,ALL-Transaction,Holds Stock allocation details,\StockAllocation,,iInTransId,
285,tCore_Synchronization,ALL-Transaction,Synchronization related header data is stored in this table,\Home\Company\Synchornization\SynchronizationDefinition,"tCore_SynchronizationDetails
tCore_SynchronizationFilter",iSyncId,iSyncId
286,tCore_SynchronizationDetails,ALL-Transaction,Synchronization related body data is stored in this table,\Home\Company\Synchornization\SynchronizationDefinition,tCore_Synchronization ,iSyncId,iSyncId
287,tCore_SynchronizationFilter,ALL-Transaction,This table holds data involving filters for synchronization,\Home\Company\Synchornization\SynchronizationDefinition,tCore_Synchronization ,iSyncId,iSyncId
288,tCore_SyncScheduleImport,ALL-Transaction,Scheduled imports for synchronization details,\Home\Company\Synchornization\ScheduleImport,,iSyncId,
289,tCore_TaxCode_AuditLogDetails,ALL-Transaction,Master audit logs for Tax code master,Edit any transaction,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,iAuditId                                           ifieldId
290,tCore_TransAuditLog_0,ALL-Transaction,Transactions audit logs data is stored in this table,Select transaction->edit,tSec_UserLog                                                    cCore_Vouchers_0                                                                       This table is referenced by multiple tables,iAuditId,isessionId                                    iVoucherType                            iAuditId
291,tCore_TransAuditLog1023_0,ALL-Transaction,Maintains audit log data for modifications done in Stock adjustment,\Stock adjustment->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
292,tCore_TransAuditLog1024_0,ALL-Transaction,Maintains audit log data for modifications done in receipts from production,\receipts from production->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
293,tCore_TransAuditLog1056_0,ALL-Transaction,Maintains audit log data for modifications done in returns from shop floor,\returns from shop floor->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
294,tCore_TransAuditLog1280_0,ALL-Transaction,Maintains audit log data for modifications done in material receipts note,\material receipts note->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
295,tCore_TransAuditLog1536_0,ALL-Transaction,Maintains audit log data for modifications done in job work receipts,\job work receipts->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
296,tCore_TransAuditLog1792_0,ALL-Transaction,Maintains audit log data for modifications done in sales returns,\sales returns->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
297,tCore_TransAuditLog2048_0,ALL-Transaction,Maintains audit log data for modifications done in excesses in stocks,\excesses in stocks->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
298,tCore_TransAuditLog2304_0,ALL-Transaction,Maintains audit log data for modifications done in purchase quatations,\purchase quatations->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
299,tCore_TransAuditLog256_0,ALL-Transaction,Maintains audit log data for modifications done in opening balances,\opening balances->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
300,tCore_TransAuditLog2560_0,ALL-Transaction,Maintains audit log data for modifications done in purchase orders,\purchase orders->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
301,tCore_TransAuditLog2561_0,ALL-Transaction,Maintains audit log data for modifications done in job orders,\job orders->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
302,tCore_TransAuditLog2816_0,ALL-Transaction,Maintains audit log data for modifications done in production process,\production process->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
303,tCore_TransAuditLog3072_0,ALL-Transaction,Maintains audit log data for modifications done in stock transfer,\stock transfer->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
304,tCore_TransAuditLog3328_0,ALL-Transaction,Maintains audit log data for modifications done in sales invoice,\sales invoice->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
305,tCore_TransAuditLog3329_0,ALL-Transaction,Maintains audit log data for modifications done in cash sales,\cash sales->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
306,tCore_TransAuditLog3330_0,ALL-Transaction,Maintains audit log data for modifications done in hire purchase sales,\hire purchase sales->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
307,tCore_TransAuditLog3331_0,ALL-Transaction,Maintains audit log data for modifications done in POS sales ,\POS sales ->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
308,tCore_TransAuditLog3584_0,ALL-Transaction,Maintains audit log data for modifications done in non-standard journal entries,\non->Edit Transactionstandard journal entries->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
309,tCore_TransAuditLog3585_0,ALL-Transaction,Maintains audit log data for modifications done in inter-departmental JV,\inter->Edit Transactiondepartmental JV->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
310,tCore_TransAuditLog3586_0,ALL-Transaction,Maintains audit log data for modifications done in debit notes(linewise),\debit notes(linewise)->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
311,tCore_TransAuditLog3587_0,ALL-Transaction,Maintains audit log data for modifications done in credit notes(linewise)Maintains audit log data for modifications done in payroll,\credit notes(linewise)\payroll->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
312,tCore_TransAuditLog3588_0,ALL-Transaction,Maintains audit log data for modifications done in fixed asset depreciation voucher,\fixed asset depreciation voucher->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
313,tCore_TransAuditLog3840_0,ALL-Transaction,Maintains audit log data for modifications done in debit note,\debit note->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
314,tCore_TransAuditLog4096_0,ALL-Transaction,Maintains audit log data for modifications done in credit note,\credit note->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
315,tCore_TransAuditLog4097_0,ALL-Transaction,Maintains audit log data for modifications done in payroll posting,\payroll posting->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
316,tCore_TransAuditLog4608_0,ALL-Transaction,Maintains audit log data for modifications done in receipts,\receipts->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
317,tCore_TransAuditLog4864_0,ALL-Transaction,Maintains audit log data for modifications done in payments,\payments->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
318,tCore_TransAuditLog512_0,ALL-Transaction,Maintains audit log data for modifications done in opening stocks,\opening stocks->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
319,tCore_TransAuditLog5120_0,ALL-Transaction,Maintains audit log data for modifications done in petty cash,\petty cash->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
320,tCore_TransAuditLog5376_0,ALL-Transaction,Maintains audit log data for modifications done in shortages in stock,\shortages in stock->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
321,tCore_TransAuditLog5632_0,ALL-Transaction,Maintains audit log data for modifications done in sales order,\sales order->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
322,tCore_TransAuditLog5633_0,ALL-Transaction,Maintains audit log data for modifications done in production order,\production order->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
323,tCore_TransAuditLog5888_0,ALL-Transaction,Maintains audit log data for modifications done in post dated receipts,\post dated receipts->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
324,tCore_TransAuditLog6144_0,ALL-Transaction,Maintains audit log data for modifications done in delivery notes,\delivery notes->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
