Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
42,mCore_CostCenterTreeDetails,All-Masters,Details of tree structure,\Home\Masters\CostCenter,"mCore_CostCenter
mCore_CostCenterTree",iTreeId,iTreeId                                               ImasterId                                          iParentId
43,mCore_CostCenterTreeFields,All-Masters,Contains tree fields data,\Home\Masters\CostCenter,cCore_MasterFields                     mCore_CostCenterTree,iTreeId,iTreeId                                                IFieldId
44,mCore_Country,All-Masters,Country Master,\Home\Masters\Country,"mSec_Users                                                                                             mCore_CountryLanguage
mCore_CountryTreeDetails
muCore_State
muFixA_FixedAsset
muPos_Member_ContactDetails
muPos_Outlet",iMasterId,iCreatedBy                                         iModifiedBy                            iMasterId                                             iParentId                              iCountry                                              iTag2
45,mCore_CountryLanguage,All-Masters,Alias info in alternate language,\Home\Masters\Country,"cCore_LanguageSupported
mCore_Country ",iMasterId,iMasterId                                         iLanguageId
46,mCore_CountryTree,All-Masters,Country Tree Structure,\Home\Masters\Country,"mCore_CountryTreeDetails
mCore_CountryTreeFields",iTreeId,iTreeId
47,mCore_CountryTreeDetails,All-Masters,Tree Structure Details,\Home\Masters\Country,"mCore_Country
mCore_CountryTree ",iTreeId,iTreeId                                     iMasterId                                  iParentId
48,mCore_CountryTreeFields,All-Masters,Tree Structure Fields,\Home\Masters\Country,"cCore_MasterFields 
mCore_CountryTree",iTreeId,iTreeId                                            iFieldId
49,mCore_CreditLimitAuth,All-Masters,Contains list of defined credit limit based authorizations(Header),\Home\Settings\CreditLimitAuthorization,"mCore_CreditLimitAuthDtls
mCore_DefineCreditLimitByFATag
mCore_MapCreditLimit",iCrLmtAuthId,iCrLmtAuthId
50,mCore_CreditLimitAuthDtls,All-Masters,Stores credit limit  authorization details(Data) ,\Home\Settings\CreditLimitAuthorization,"mCore_CreditLimitAuth 
mCore_CrLmtAuthRestrictUser",iCrLmtAuthDtlsId    iCrLmtAuthId,iCrLmtAuthDtlsId    iCrLmtAuthId
51,mCore_CrLmtAuthRestrictUser,All-Masters,Stores authorized users against the credit limit authorizations,\Home\Settings\CreditLimitAuthorization,"mCore_CreditLimitAuthDtls 
mSec_Users ",iUserId,iUserId                            iCrLmtAuthId
52,mCore_Currency,All-Masters,Currency Master data table,\Home\Masters\Currency\CurrencyMaster,"mCore_BuyingPriceBookDetails
mCore_DenominationDetails
mCore_ExchangeRate
mCore_ExchangeRateDefinition
mCore_LetterOfCredit
mCore_SellingPriceBookDetails
mPos_CashInOut
mPos_CashInOutBody
mPos_CashInOutDenomination
tCore_Data_FX_0
tPos_PaymentBody
tPos_PaymentHeader",iCurrencyId,iPaidCurrencyId     iLocalCurrency                 iCurrency                           iCurrencyId         iBaseCurrencyId        iCurrencyNameId                              iDefinedAs(iCurrencyId)
